min_jacc	comparison
0.7333333333333333	All
0.7222222222222222	All
0.717948717948718	All
0.6865671641791045	All
0.6533333333333333	All
0.6909090909090909	All
0.6101694915254238	All
0.6666666666666666	All
0.7142857142857143	All
0.6818181818181818	All
0.6538461538461539	All
0.7	All
0.6896551724137931	All
0.6461538461538462	All
0.6447368421052632	All
0.5686274509803921	All
0.5	All
0.696969696969697	All
0.5733333333333334	All
0.6458333333333334	All
0.6739130434782609	All
0.6216216216216216	All
0.6346153846153846	All
0.6274509803921569	All
0.4888888888888889	All
0.6304347826086957	All
0.7402597402597403	All
0.7407407407407407	All
0.75	All
0.6046511627906976	All
0.5178571428571429	All
0.68	All
0.6666666666666666	All
0.5490196078431373	All
0.5476190476190477	All
0.625	All
0.7083333333333334	All
0.5918367346938775	All
0.56	All
0.6833333333333333	All
0.5625	All
0.627906976744186	All
0.6	All
0.6666666666666666	All
0.6458333333333334	All
0.5714285714285714	All
0.64	All
0.5714285714285714	All
0.6056338028169014	All
0.7191011235955056	All
0.4166666666666667	All
0.7142857142857143	All
0.7307692307692307	All
0.6458333333333334	All
0.7681159420289855	All
0.37349397590361444	All
0.6875	All
0.6986301369863014	All
0.6842105263157895	All
0.7368421052631579	All
0.7567567567567568	All
0.7164179104477612	All
0.6610169491525424	All
0.6666666666666666	All
0.6666666666666666	All
0.6666666666666666	All
0.5531914893617021	All
0.6779661016949152	All
0.7272727272727273	All
0.7311827956989247	All
0.6545454545454545	All
0.6122448979591837	All
0.8292682926829268	All
0.7037037037037037	All
0.7375	All
0.676056338028169	All
0.7142857142857143	All
0.6909090909090909	All
0.723404255319149	All
0.5365853658536586	All
0.7115384615384616	All
0.5967741935483871	All
0.6031746031746031	All
0.7123287671232876	All
0.746268656716418	All
0.7183098591549296	All
0.7272727272727273	All
0.7254901960784313	All
0.75	All
0.7671232876712328	All
0.6031746031746031	All
0.65625	All
0.625	All
0.6966292134831461	All
0.6944444444444444	All
0.5576923076923077	All
0.6530612244897959	All
0.6666666666666666	All
0.7192982456140351	All
0.8095238095238095	All
0.7	All
0.56	All
0.7014925373134329	All
0.711864406779661	All
0.7936507936507936	All
0.7746478873239436	All
0.7659574468085106	All
0.7368421052631579	All
0.7796610169491526	All
0.8032786885245902	All
0.7763157894736842	All
0.6792452830188679	All
0.6712328767123288	All
0.6285714285714286	All
0.684931506849315	All
0.6515151515151515	All
0.6739130434782609	All
0.7450980392156863	All
0.6349206349206349	All
0.5806451612903226	All
0.7272727272727273	All
0.7625	All
0.7901234567901234	All
0.34285714285714286	All
0.6851851851851852	All
0.75	All
0.75	All
0.5857142857142857	All
0.7386363636363636	All
0.7333333333333333	All
0.6129032258064516	All
0.7413793103448276	All
0.7164179104477612	All
0.7361111111111112	All
0.7123287671232876	All
0.7288135593220338	All
0.6153846153846154	All
0.7735849056603774	All
0.6590909090909091	All
0.5111111111111111	All
0.6666666666666666	All
0.75	All
0.5849056603773585	All
0.7076923076923077	All
0.7466666666666667	All
0.6388888888888888	All
0.56	All
0.6526315789473685	All
0.7070707070707071	All
0.6111111111111112	All
0.7702702702702703	All
0.6901408450704225	All
0.5846153846153846	All
0.5423728813559322	All
0.6129032258064516	All
0.8	All
0.4146341463414634	All
0.6666666666666666	All
0.627906976744186	All
0.7341772151898734	All
0.7534246575342466	All
0.675	All
0.7368421052631579	All
0.6888888888888889	All
0.7428571428571429	All
0.6785714285714286	All
0.5535714285714286	All
0.6111111111111112	All
0.7111111111111111	All
0.8108108108108109	All
0.7192982456140351	All
0.7419354838709677	All
0.6458333333333334	All
0.7380952380952381	All
0.6923076923076923	All
0.6774193548387096	All
0.75	All
0.6551724137931034	All
0.6949152542372882	All
0.7368421052631579	All
0.5409836065573771	All
0.7468354430379747	All
0.5957446808510638	All
0.6896551724137931	All
0.6551724137931034	All
0.6470588235294118	All
0.6507936507936508	All
0.5588235294117647	All
0.6373626373626373	All
0.6122448979591837	All
0.6190476190476191	All
0.6190476190476191	All
0.5625	All
0.5333333333333333	All
0.5405405405405406	All
0.47368421052631576	All
0.6833333333333333	All
0.76	All
0.6875	All
0.746031746031746	All
0.6	All
0.7288135593220338	All
0.6590909090909091	All
0.6545454545454545	All
0.6612903225806451	All
0.5806451612903226	All
